x,y,z,phi,theta,psi
-1.4285,-0.0819379,0.0805033,-0.468599,-0.170354,0.162111
-0.142586,-2.14583,-1.03467,-1.90833,-0.195694,-0.303592
-0.031941,-1.93082,-2.28532,-1.03576,0.0602518,0.804446
-0.171908,-1.5419,-2.25219,-1.32298,1.49425,0.518243
0.206293,-2.28042,-1.10742,-1.1767,2.50268,0.459646
-0.331557,-2.51772,-0.562099,-1.45431,1.68943,0.525409
0.367888,-2.79601,-0.0341537,-0.451235,3.1227,0.868375
0.201719,-2.17659,0.551263,-0.914494,2.78654,0.226423
0.649827,-2.21224,1.45692,0.389971,3.45218,-0.84004
-0.119947,-1.9455,0.618932,-0.308095,4.16597,-0.951076
1.2186,-2.33806,0.516102,0.4026,4.21112,-0.916679
-0.525428,-2.62988,-0.0445446,0.16472,4.57843,2.22413
0.100782,-1.24343,0.0261979,1.62314,4.47652,2.93147
-0.234462,-0.35118,0.420822,1.39187,5.60181,2.71604
0.444024,-0.313181,0.672088,0.614733,5.79595,5.0954
-0.771859,-1.12544,1.65508,0.628436,5.39348,4.69332
-0.50238,0.0838386,2.73436,2.81408,5.92751,5.06343
-0.000260524,-0.025765,1.49736,0.72067,6.26477,5.71564
1.08812,0.457283,2.17692,2.2613,7.35724,6.3956
1.0109,1.02667,4.14378,2.6368,7.01534,6.28829
0.323848,1.58795,4.65317,3.03028,6.99484,6.94135
1.26532,1.55977,5.68609,4.25645,7.26039,8.09315
2.04108,0.360861,6.5881,5.73053,8.4535,7.69046
1.39175,-0.79473,6.2121,4.65397,9.68333,9.45723
0.664353,-1.44263,7.4767,7.95302,9.02206,9.57245
1.73991,-2.00078,6.30174,8.25708,9.18455,11.079
1.47508,-2.95937,5.70052,9.38162,9.5886,11.5372
0.887641,-3.36885,5.85005,11.8642,10.631,12.4479
0.311026,-3.25577,5.7625,11.9064,10.291,12.9221
0.941813,-3.61363,6.47329,13.439,9.75265,12.6286
1.38815,-3.2243,6.84769,14.2987,11.0871,15.2396
0.630056,-2.10478,6.59037,14.2118,10.9062,15.6442
0.0860175,-0.92802,6.84077,13.0644,11.988,14.3018
0.254868,-1.14916,7.80231,14.8781,11.7104,17.5597
1.2519,-0.162731,7.92712,16.0892,13.6372,18.0152
0.862262,-0.201066,8.59654,15.0371,14.1489,19.9896
0.476005,0.258058,8.66763,15.8345,15.0225,21.6725
