x,y,z,vx,vy,vz,phi,theta,psi
-0.128556,0.00692519,-0.0957417,0.236609,-0.202636,0.376199,-0.0641114,-0.224483,0.234199
-0.273683,0.40026,-0.310703,0.290257,-0.271884,0.609587,-0.084393,-0.323846,-0.014582
-0.368059,0.460246,-0.361025,0.0245127,-0.0322789,0.352047,-0.215703,-0.535227,-0.0547984
-0.432277,0.501819,-0.424114,0.411058,-0.305176,-0.103758,-0.403929,-0.407342,-0.0640207
-0.45943,0.256368,-0.274343,-0.13187,-0.258448,0.04335,-0.199559,-0.464558,0.0247996
-0.476356,0.493737,-0.573016,-0.164825,-0.310166,-0.069087,-0.269521,-0.447588,-0.164017
-0.68348,0.193579,-0.731186,-0.103517,0.448325,-0.171146,-0.00558674,-0.411183,0.0234701
-0.720748,0.0121611,-0.374673,-0.194161,0.218105,0.137058,-0.0203232,-0.458467,-0.0724217
-0.989745,0.0472802,-0.286815,-0.0279261,0.324889,0.142762,-0.311071,-0.293631,0.174502
-1.26785,0.282039,-0.312878,-0.0471959,0.239245,-0.288099,-0.280366,-0.365765,-0.0975908
-1.16104,0.170016,0.0521943,-0.576219,0.408102,-0.726083,-0.46814,-0.236995,0.20161
-1.3319,-0.107345,0.242225,-0.965051,0.337582,-0.649852,-0.568934,0.0538127,0.000293329
-1.25083,-0.369479,-0.136758,-0.859967,-0.160093,-0.683342,-0.506769,-0.4718,0.28962
-1.11109,-0.563602,-0.27017,-0.700095,-0.129566,-0.474224,-0.388607,-0.452513,0.222607
-0.876768,-0.763343,-0.674453,-0.761063,-0.0623022,-0.72905,-0.482446,-0.914672,0.219642
-0.938708,-0.895635,-0.565394,-1.20925,0.551141,-0.713938,-0.254512,-0.638411,0.433778
-0.863293,-1.05515,-0.828142,-1.08329,0.909662,-0.705145,0.0408358,-0.515596,0.60333
-0.728069,-1.27708,-1.05889,-0.702918,0.99271,-0.733203,0.0139416,-0.314449,0.790597
0.0265272,-1.32906,-1.2783,-0.530291,1.21577,-0.724918,-0.23808,-0.206694,0.916312
-0.267694,-1.4284,-1.4395,-0.648234,1.10324,-0.360449,-0.500566,0.0890077,0.665969
-0.070578,-1.5065,-1.49852,-0.511198,1.50643,-0.0232569,-0.830022,0.0904958,0.796781
-0.194555,-2.11095,-1.59248,-0.437743,1.96362,-0.305999,-1.4223,0.30869,0.964386
-0.247295,-2.19902,-1.47015,-0.479068,1.88484,-0.434818,-1.47309,0.337616,0.951737
-0.25898,-2.08477,-1.09138,-0.253073,1.51431,-0.414903,-1.5169,0.303838,0.790847
-0.446865,-2.05998,-1.16296,-0.169019,1.50618,-0.435895,-1.16934,0.519102,0.860853
-0.122904,-2.14785,-1.28045,-0.315146,1.58275,0.0276763,-1.28253,0.370592,0.808426
0.10561,-2.23332,-1.14516,-0.125176,1.64846,0.565148,-1.19114,0.431255,0.565394
-0.135385,-2.00956,-0.903746,-0.149955,2.15968,0.977952,-1.19143,0.52055,0.887224
-0.0212821,-2.05981,-0.947584,-0.199821,2.32593,1.27591,-0.871118,0.411636,1.034
-0.141391,-1.92682,-0.917681,-1.09383,2.5695,1.44588,-0.182019,0.440809,1.17659
-0.45169,-2.51077,-1.1663,-0.929299,2.49771,0.732928,-0.432917,0.614685,1.06765
-0.493508,-2.49881,-1.50225,-0.883127,2.41649,0.667777,-0.525223,0.665418,1.64063
-0.40288,-2.40211,-1.89844,-1.52887,2.73318,1.07218,-0.617202,0.755989,1.33719
-0.330864,-2.02208,-2.02273,-1.39618,2.78785,0.868199,-0.660928,0.598705,1.16972
-0.0838087,-1.85186,-1.9815,-1.39998,3.3788,1.40653,-1.07574,0.702457,1.21997
0.00427149,-2.0537,-2.0811,-1.06046,3.27585,1.28784,-1.4622,0.597218,1.12605
0.03144,-1.90074,-2.01822,-0.809579,3.29817,1.67768,-1.54003,0.918821,1.22314
-0.103695,-2.05073,-2.3598,-0.476571,3.41348,1.78128,-1.14024,1.39667,1.21499
-0.112082,-1.95687,-2.31732,-1.023,3.45031,2.14935,-0.975139,1.68309,1.0814
-0.151149,-1.885,-2.34162,-0.859228,2.869,2.09801,-1.06526,1.67988,0.949287
-0.00814934,-2.30028,-2.42964,-1.44063,3.1321,1.86203,-1.05048,1.71621,0.88898
-0.151288,-2.26862,-2.32684,-1.35104,2.94939,1.47704,-1.10313,1.63348,0.498509
-0.311092,-2.27523,-2.49519,-1.28905,3.59105,1.56052,-1.53,1.63017,0.442554
-0.410276,-2.15508,-2.53741,-1.87503,3.7859,1.68939,-1.59425,1.51281,0.719348
-0.487969,-1.69592,-2.38717,-1.46608,3.64914,1.12503,-1.64068,1.51855,0.726894
-0.371795,-1.7511,-2.25748,-1.46116,4.30069,1.5476,-1.4284,1.49264,0.599024
-0.543258,-1.88541,-2.37346,-1.66152,4.27309,1.56865,-0.967903,1.67759,0.477803
-0.210972,-1.56056,-2.2361,-1.71126,3.58428,1.41021,-0.67749,1.60482,0.776989
-0.230736,-1.54268,-2.06986,-1.60722,3.54771,2.01718,-0.651196,1.75494,0.99368
-0.121966,-1.616,-2.04473,-1.67515,3.48931,2.16936,-0.211645,1.86314,1.03436
-0.136128,-1.45368,-1.71931,-1.94004,3.50533,2.22031,-0.272442,1.86423,1.09196
-0.24663,-1.41104,-1.64672,-2.01232,3.10439,2.35853,-0.406365,2.1197,1.03024
-0.263035,-1.56316,-1.63225,-1.96746,3.03194,2.20172,-0.540116,2.01898,0.427554
-0.289263,-1.74399,-1.48914,-1.56709,3.36598,2.50675,-0.582022,1.78696,0.401297
-0.283921,-1.51501,-1.22808,-1.62408,3.14415,3.21155,-0.384852,2.21455,0.142888
-0.129509,-1.82452,-1.42907,-1.47231,2.91604,2.88903,-0.604187,2.2845,0.368852
-0.14505,-1.66007,-1.41771,-0.849403,2.84907,3.15356,-0.834032,2.10866,0.650606
-0.133603,-1.69701,-1.41875,-0.819115,2.88918,3.13031,-0.943947,2.28142,0.914987
-0.309188,-1.88185,-1.17601,-0.800431,2.69567,3.37098,-0.70362,2.27399,0.969394
0.0567776,-2.09848,-1.1752,-0.77187,2.33848,2.72861,-0.764073,2.28203,0.881774
0.0927729,-2.25955,-0.858212,-0.346821,1.96988,3.24233,-0.734812,2.3724,0.939996
0.105508,-2.00804,-0.642388,-0.119037,2.15252,3.24039,-0.754833,2.49663,0.920839
-0.141795,-1.96472,-0.649488,-0.0621593,2.61886,3.3999,-0.994913,2.69471,0.819998
-0.136202,-2.01732,-0.513084,-0.441971,2.81254,3.31537,-1.16807,2.34481,0.721784
-0.0927316,-1.87476,-0.7182,-0.500351,2.38699,3.3347,-0.909349,2.13061,0.639515
-0.405879,-1.93583,-0.891005,-0.163544,2.34116,3.2326,-1.08825,2.15878,0.689553
-0.207384,-1.81974,-0.752483,0.0182383,2.02415,2.43342,-1.21673,2.05574,0.936631
-0.193631,-2.20675,-0.690432,-0.0456248,2.2015,2.30481,-1.69288,2.24538,0.601567
-0.431008,-2.37141,-0.249242,0.140518,2.52279,2.14512,-1.46182,2.64977,0.705698
-0.341185,-2.33596,-0.510549,-0.123011,2.88658,2.37848,-1.32662,2.50601,0.577703
-0.36903,-2.23024,-0.583399,-0.035982,3.11374,2.52914,-1.55815,2.61029,0.571303
-0.257723,-2.50969,-0.687296,-0.040033,2.75467,2.58776,-1.19489,2.32051,0.554581
0.279668,-2.52569,-0.610377,-0.388373,2.10537,2.88286,-1.4007,2.21301,0.477697
0.186824,-2.97782,-0.437899,-0.312369,1.46556,2.82518,-1.37132,2.54911,0.157546
0.0929871,-3.25547,-0.311602,0.287873,1.45347,3.13383,-1.53643,2.6615,0.152752
0.0331356,-3.03001,-0.383247,0.400995,1.19471,2.77099,-1.55291,2.95314,-0.0405919
0.191093,-3.10849,-0.312591,0.308079,1.0863,2.42469,-1.28203,3.18964,0.250638
0.351474,-2.88922,-0.0876941,-0.327986,1.36303,2.76211,-1.08402,3.25026,0.514715
0.43916,-3.00659,-0.261122,-0.684213,1.12488,2.39125,-1.24666,3.26634,0.71397
0.672584,-3.28935,-0.0383553,-0.524603,1.69341,2.13964,-1.20449,3.33304,0.814127
0.554079,-2.86316,-0.370884,-1.01886,1.49173,2.13644,-1.20236,2.98045,0.666548
0.507813,-2.96441,-0.236642,-1.03403,1.39555,1.89491,-1.13777,2.8757,0.853116
0.633032,-2.96651,-0.0629932,-0.841124,1.5759,2.00758,-0.922987,2.75784,1.08554
0.522679,-2.86495,0.0413377,-0.601528,1.29688,2.5845,-0.782779,2.68487,1.0103
0.804521,-3.2048,0.247748,-0.583526,1.22984,2.46937,-0.651612,2.41206,0.837472
0.703637,-3.46539,0.0859751,-0.708076,1.17826,2.18369,-0.731058,2.44143,1.23731
0.675997,-3.21057,0.0447195,-0.211213,1.73566,2.10013,-0.547297,2.18447,1.17308
0.27219,-3.01558,0.314735,-0.338158,1.62317,2.46883,-0.434586,2.07304,0.946174
0.492547,-3.14128,0.559788,-0.546212,1.77997,3.06573,-0.475258,2.1485,1.08151
0.693418,-2.96931,0.874421,-0.305321,1.81643,3.18066,-0.721453,2.09395,0.938355
0.492158,-2.90051,1.02468,-0.458423,1.213,2.17715,-0.92037,2.21483,0.91183
0.0269998,-2.89253,0.848234,-0.333715,1.20075,2.21827,-1.00169,2.29138,0.981362
-0.0277832,-2.65717,0.715831,-0.237801,0.729208,2.23002,-1.00835,2.43036,0.895136
-0.295189,-2.48911,0.590992,-0.481127,0.710221,2.85681,-0.974457,2.59624,0.424746
0.0305609,-2.63509,0.557736,-0.252542,1.18456,2.38876,-0.827818,2.59279,0.438875
0.149433,-2.04101,0.563023,-0.168606,0.535434,2.28053,-0.853184,2.48053,0.207607
-0.0880479,-1.74043,0.720959,-0.579235,0.250759,2.65194,-1.05602,2.4193,0.356878
-0.0750388,-1.69215,0.90552,-0.796271,0.203302,2.41782,-1.27389,2.39997,0.503188
-0.206476,-1.81645,0.934447,-0.962624,-0.128604,2.90132,-1.38194,2.66522,0.30678
-0.204718,-1.62381,1.01376,-0.652184,-0.096684,2.95851,-1.04489,2.65412,0.175623
-0.422255,-1.76452,0.863134,-0.991495,-0.00259319,2.48229,-0.968513,2.9679,0.298561
-0.076758,-2.01811,0.907887,-0.666541,0.580203,2.21299,-0.675487,3.0353,0.341667
-0.050838,-1.98265,1.0123,-1.00685,0.751651,2.21427,-0.616862,2.92588,0.222343
0.00120685,-1.89312,0.88468,-1.21387,0.83367,2.26451,-0.262068,2.73944,0.159719
-0.00709785,-1.81511,1.04379,-0.809996,0.548196,1.97899,-0.255901,2.88883,-0.195461
0.121819,-2.45359,1.37997,-1.06019,0.83845,2.22374,-0.296582,2.96669,0.184933
0.464801,-2.45433,1.46249,-1.86347,1.47887,2.00179,-0.490333,3.15139,-0.0580086
0.544573,-2.33001,1.37706,-1.95322,1.55058,2.06829,-0.209084,3.15916,-0.329802
0.628091,-2.07718,1.4488,-1.93328,1.16414,2.11603,-0.211053,2.98522,-0.211133
-0.0715566,-1.98381,1.24858,-1.94857,1.36543,2.15814,-0.172029,3.36971,-0.435736
-0.217712,-1.89613,1.11762,-1.60727,1.19041,2.77172,-0.203764,3.34594,-0.451467
-0.00414957,-1.84601,0.958522,-1.80393,0.853174,3.03181,-0.600726,3.31826,-0.452221
-0.217953,-2.2689,0.93075,-2.06831,0.918199,3.0229,-0.182706,3.43854,-0.611219
-0.193379,-2.41031,0.892705,-2.11654,0.432225,3.29672,-0.132686,3.13175,-0.924945
-0.384065,-2.49048,0.940253,-2.21537,0.108619,3.57808,-0.266605,3.35189,-1.09969
-0.419273,-2.45235,0.667539,-2.23523,0.539443,3.76822,-0.394166,3.48516,-1.38443
-0.582513,-2.3287,0.723286,-2.50928,0.677851,3.82347,-0.503417,3.61619,-1.3471
-0.384042,-2.41184,0.592588,-3.07603,0.574009,3.55828,-0.63816,3.68042,-1.24043
-0.158392,-2.16019,0.69784,-2.79836,0.688396,3.95622,-0.126008,3.66162,-1.18502
-0.188019,-1.97648,0.580988,-3.05865,0.886641,3.61891,-0.114678,3.64137,-1.02826
-0.0704199,-1.78409,0.535233,-3.39908,0.665659,3.23944,-0.148135,3.29817,-1.22411
0.0810039,-2.11109,0.719476,-3.19424,0.303706,3.55603,0.173482,3.43612,-1.31175
0.326703,-2.10444,0.535266,-3.33064,0.0786508,3.66691,0.307624,3.64676,-1.15551
0.323839,-2.03748,0.342761,-3.85787,0.0494438,3.09879,0.48366,3.61936,-0.997209
0.579183,-2.14712,0.25046,-3.25631,-0.324363,3.41107,0.728679,3.37305,-1.2456
