timestamp,x,y,z,vx,vy,vz,ax,ay,az,phi,theta,psi
1542356255.220061136,0.004093,0.0098727,-0.138773,-0.00460922,-0.00349222,-0.00379842,-0.0957608,-0.0725567,-0.0789164,-0.0025557,0.00985386,-0.0124977
1542356255.262801394,0.00381137,0.00987939,-0.139008,-0.00970164,-0.00351038,-0.00681899,-0.119862,-0.0576411,-0.0705257,-0.00232078,0.0111309,-0.0125641
1542356255.310949068,0.0032094,0.00996825,-0.139419,-0.0149557,-0.0047048,-0.0100485,-0.11002,-0.0958535,-0.0669241,-0.00182186,0.0118352,-0.0126302
1542356255.353703408,0.00247402,0.0100373,-0.13991,-0.0200118,-0.00564493,-0.0141889,-0.119393,-0.110234,-0.0967598,-0.00579459,0.0121355,-0.0130052
1542356255.401778162,0.00138164,0.0101483,-0.140718,-0.0240635,-0.00487154,-0.0178392,-0.0858526,-0.0951592,-0.0740639,-0.00450462,0.012469,-0.0105885
1542356255.449843645,0.000120108,0.0105153,-0.141659,-0.028857,-0.00191973,-0.0223856,-0.100053,-0.0856937,-0.0943163,-0.00374644,0.0124356,-0.00998414
1542356255.492653874,-0.00120523,0.0109943,-0.1427,-0.0330875,0.000261961,-0.0260632,-0.0999889,-0.104778,-0.0859268,-0.00479857,0.0127344,-0.00992053
1542356255.540692047,-0.00290286,0.0115275,-0.144062,-0.0380247,0.00309654,-0.0314521,-0.104634,-0.0807467,-0.11091,-0.00556386,0.013888,-0.010549
1542356255.583480606,-0.00460429,0.0123452,-0.145525,-0.0427103,0.00765167,-0.0373509,-0.113902,-0.0805813,-0.135871,-0.00819981,0.0139482,-0.00833138
1542356255.631658919,-0.00682527,0.0135415,-0.147548,-0.0478812,0.0129753,-0.0444628,-0.109071,-0.0896107,-0.141778,-0.00882351,0.0125543,-0.00982046
1542356255.679615542,-0.00919032,0.0152378,-0.149886,-0.052941,0.0199045,-0.0517939,-0.114003,-0.0989734,-0.147688,-0.00898247,0.0119244,-0.0100174
1542356255.722431768,-0.0115248,0.017429,-0.152299,-0.0571649,0.0307147,-0.057798,-0.114031,-0.0846054,-0.125085,-0.010931,0.0104196,-0.00761078
1542356255.770462585,-0.0147037,0.0201262,-0.155575,-0.0617012,0.0374633,-0.0666223,-0.0952225,-0.0940037,-0.13101,-0.00923472,0.0112406,-0.00870243
1542356255.813258683,0.0315643,0.030292,-0.140985,-0.0414684,0.0329484,-0.061674,-0.112293,-0.0931509,-0.0784969,0.00883224,0.0535937,-0.00106731
