timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542356255.234107109,0,0,0,0,-0,0,0,0,0
1542356255.274119684,0,0,0,0,-0,0,0,0,0
1542356255.314104297,0,0,0,0,-0,0,0,0,0
1542356255.374127892,0,0,0,0,-0,0,0,0,0
1542356255.414104479,0,0,0,0,-0,0,0,0,0
1542356255.454110052,0,0,0,0,-0,0,0,0,0
1542356255.514111867,0,0,0,0,-0,0,0,0,0
1542356255.554138614,0,0,0,0,-0,0,0,0,0
1542356255.594110892,0,0,0,0,-0,0,0,0,0
1542356255.634107755,0,0,0,0,-0,0,0,0,0
1542356255.694124410,0,0,0,0,-0,0,0,0,0
1542356255.734113705,0,0,0,0,-0,0,0,0,0
1542356255.752738000,0.0337574,0.0289259,-0.138173,0,0,0,0.00952981,0.0550289,0.000128241
1542356255.834122197,0,0,0,0,-0,0,0,0,0
1542356255.874138382,0,0,0,0,-0,0,0,0,0
1542356255.914142586,0,0,0,0,-0,0,0,0,0
1542356255.974119964,0,0,0,0,-0,0,0,0,0
1542356256.014138622,0,0,0,0,-0,0,0,0,0
1542356256.054113386,0,0,0,0,-0,0,0,0,0
1542356256.114141942,0,0,0,0,-0,0,0,0,0
1542356256.154125241,0,0,0,0,-0,0,0,0,0
1542356256.194133421,0,0,0,0,-0,0,0,0,0
1542356256.155948000,-0.0195814,-0.00589207,-0.126804,0,0,0,-0.0901698,-0.0912221,0.00554468
1542356256.234109759,0,0,0,0,-0,0,0,0,0
1542356256.256756000,-0.0429853,-0.0131872,-0.121652,0,0,0,-0.14261,-0.1539,0.0446604
1542356256.334127652,0,0,0,0,-0,0,0,0,0
1542356256.374118485,0,0,0,0,-0,0,0,0,0
1542356256.434105544,0,0,0,0,-0,0,0,0,0
1542356256.458344000,-0.0071667,0.0122945,-0.147498,0,0,0,0.0950691,-0.0393956,-0.0415485
1542356256.514123946,0,0,0,0,-0,0,0,0,0
1542356256.574110955,0,0,0,0,-0,0,0,0,0
1542356256.559137000,-0.00278232,-0.00417404,-0.15342,0,0,0,0.163651,-0.0627394,-0.0572455
1542356256.654142769,0,0,0,0,-0,0,0,0,0
1542356256.694067349,0,0,0,0,-0,0,0,0,0
1542356256.659931000,-0.0396671,-0.0216009,-0.15283,0,0,0,0.234082,-0.157462,-0.0291279
1542356256.754116044,0,0,0,0,-0,0,0,0,0
1542356256.760744000,-0.0397034,-0.0432168,-0.158246,0,0,0,0.302217,-0.140783,-0.018751
1542356256.794117323,0,0,0,0,-0,0,0,0,0
1542356256.834104858,0,0,0,0,-0,0,0,0,0
1542356256.874113052,0,0,0,0,-0,0,0,0,0
1542356256.934112740,0,0,0,0,-0,0,0,0,0
1542356256.974111206,0,0,0,0,-0,0,0,0,0
1542356257.014107589,0,0,0,0,-0,0,0,0,0
1542356257.074116572,0,0,0,0,-0,0,0,0,0
1542356257.063155000,0.0300458,0.0215688,-0.116146,0,0,0,-0.239511,-0.260545,0.0970088
1542356257.154132216,0,0,0,0,-0,0,0,0,0
1542356257.163939000,0.0272055,0.017065,-0.115745,0,0,0,-0.221474,-0.191526,0.103599
1542356257.254104389,0,0,0,0,-0,0,0,0,0
1542356257.264759000,0.029793,0.00515867,-0.143884,0,0,0,0.0638075,0.0808532,-0.0795538
1542356257.354103606,0,0,0,0,-0,0,0,0,0
1542356257.394119988,0,0,0,0,-0,0,0,0,0
1542356257.434137189,0,0,0,0,-0,0,0,0,0
1542356257.474189954,0,0,0,0,-0,0,0,0,0
1542356257.534123123,0,0,0,0,-0,0,0,0,0
1542356257.574179181,0,0,0,0,-0,0,0,0,0
1542356257.614122824,0,0,0,0,-0,0,0,0,0
1542356257.674148722,0,0,0,0,-0,0,0,0,0
1542356257.714106460,0,0,0,0,-0,0,0,0,0
1542356257.754119296,0,0,0,0,-0,0,0,0,0
1542356257.768750000,0.00824042,-0.00431435,-0.137122,0,0,0,0.0357741,-0.163539,-0.257782
1542356257.854118338,0,0,0,0,-0,0,0,0,0
1542356257.894121724,0,0,0,0,-0,0,0,0,0
1542356257.869546000,-0.00341295,-0.00657537,-0.134102,0,0,0,0.0259876,-0.264931,-0.289839
1542356257.934140499,0,0,0,0,-0,0,0,0,0
1542356257.994115850,0,0,0,0,-0,0,0,0,0
1542356258.034110375,0,0,0,0,-0,0,0,0,0
1542356258.074127251,0,0,0,0,-0,0,0,0,0
1542356258.134124227,0,0,0,0,-0,0,0,0,0
1542356258.174123296,0,0,0,0,-0,0,0,0,0
1542356258.214123716,0,0,0,0,-0,0,0,0,0
1542356258.171977000,0.0374424,0.00992612,-0.141198,0,0,0,0.0772057,-0.138384,-0.0478975
1542356258.254104515,0,0,0,0,-0,0,0,0,0
1542356258.272781000,0.0601421,0.0192485,-0.134524,0,0,0,0.0633871,-0.153443,-0.0530928
1542356258.354104645,0,0,0,0,-0,0,0,0,0
1542356258.394111541,0,0,0,0,-0,0,0,0,0
1542356258.434128796,0,0,0,0,-0,0,0,0,0
1542356258.494125441,0,0,0,0,-0,0,0,0,0
1542356258.534109101,0,0,0,0,-0,0,0,0,0
1542356258.574105071,0,0,0,0,-0,0,0,0,0
1542356258.634118723,0,0,0,0,-0,0,0,0,0
1542356258.674128549,0,0,0,0,-0,0,0,0,0
1542356258.675944000,0.000870854,0.00458908,-0.14426,0,0,0,0.182442,-0.0634534,-0.24262
1542356258.714126272,0,0,0,0,-0,0,0,0,0
1542356258.774115279,0,0,0,0,-0,0,0,0,0
1542356258.814120150,0,0,0,0,-0,0,0,0,0
1542356258.854115672,0,0,0,0,-0,0,0,0,0
1542356258.877553000,3.9137e-05,-0.0181697,-0.140771,0,0,0,0.0136869,-0.0980482,-0.00386791
1542356258.954122148,0,0,0,0,-0,0,0,0,0
1542356258.994124264,0,0,0,0,-0,0,0,0,0
1542356259.034113009,0,0,0,0,-0,0,0,0,0
1542356259.074109196,0,0,0,0,-0,0,0,0,0
1542356259.134122474,0,0,0,0,-0,0,0,0,0
1542356259.174104622,0,0,0,0,-0,0,0,0,0
1542356259.194135944,0,0,0,0,-0,0,0,0,0
1542356259.214118014,0,0,0,0,-0,0,0,0,0
1542356259.274116118,0,0,0,0,-0,0,0,0,0
1542356259.354108776,0,0,0,0,-0,0,0,0,0
1542356259.381581000,-0.0359661,0.00888805,-0.130908,0,0,0,-0.0515518,-0.00231053,-0.0494326
1542356259.474105663,0,0,0,0,-0,0,0,0,0
1542356259.482353000,-0.0389004,0.0169473,-0.133757,0,0,0,-0.00863211,0.03426,-0.0836384
1542356259.534112105,0,0,0,0,-0,0,0,0,0
1542356259.614125550,0,0,0,0,-0,0,0,0,0
1542356259.654107703,0,0,0,0,-0,0,0,0,0
1542356259.694115232,0,0,0,0,-0,0,0,0,0
1542356259.714119799,0,0,0,0,-0,0,0,0,0
1542356259.734123706,0,0,0,0,-0,0,0,0,0
1542356259.784750000,-0.0117294,-0.00204329,-0.138206,0,0,0,0.0350243,-0.483393,0.0060275
1542356259.834157153,0,0,0,0,-0,0,0,0,0
1542356259.894123057,0,0,0,0,-0,0,0,0,0
1542356259.954125343,0,0,0,0,-0,0,0,0,0
1542356259.994165625,0,0,0,0,-0,0,0,0,0
1542356260.034125112,0,0,0,0,-0,0,0,0,0
1542356260.054118594,0,0,0,0,-0,0,0,0,0
1542356260.074114989,0,0,0,0,-0,0,0,0,0
1542356260.214124485,0,0,0,0,-0,0,0,0,0
1542356260.254117773,0,0,0,0,-0,0,0,0,0
1542356260.294146439,0,0,0,0,-0,0,0,0,0
1542356260.288744000,0.0437115,0.0369691,-0.142446,0,0,0,-0.15501,-0.12371,-0.0418548
1542356260.334125043,0,0,0,0,-0,0,0,0,0
1542356260.389572000,0.043158,0.0472646,-0.140452,0,0,0,-0.169478,-0.199199,-0.0761276
1542356260.434110842,0,0,0,0,0.0154625,0,0,0,0
1542356260.490344000,0.0222493,0.0191583,-0.140003,0,0,0,-0.0065664,-0.0504307,-0.025869
1542356260.554106731,0,0,0,0,0.0154625,0,0,0,0
1542356260.594129204,0,0,0,0,0.067577,0,0,0,0
1542356260.614126285,0,0,0,0,0.067577,0,0,0,0
1542356260.634111282,0,0,0,0,0.067577,0,0,0,0
1542356260.734112489,0,0,0,0,0.067577,0,0,0,0
1542356260.792781000,-0.00497664,0.0125089,-0.141665,0,0,0,0.0342698,-0.458951,-0.0876971
