ax,ay,az,wx,wy,wz
0.24972,-0.0655264,9.9238,0.00933701,0.00556999,-0.0254305
-0.174179,0.011514,9.85895,-0.0384401,-0.034597,0.0154994
0.162791,-0.273916,9.85148,-9.5921e-05,-0.0401107,0.0163114
0.388337,-0.101708,9.74571,-0.0232227,-0.000865359,-0.00162648
-0.0668288,-0.22039,9.87769,0.00347599,-0.0195213,-0.0163708
0.0904537,0.23732,9.70085,0.02058,0.0297411,0.00622216
-0.0857346,-0.0822931,9.34741,0.00746337,-0.000473696,0.0203899
-0.0612733,-0.295384,9.58826,0.0250583,0.0078918,-0.00107849
-0.189307,-0.124103,9.6505,-0.0261085,0.0400058,0.00420253
0.065215,-0.159385,9.66074,0.00238209,0.0111162,-0.01021
-0.127406,-0.25626,9.58764,0.00893863,0.000853429,0.0039604
0.0360211,0.0402115,9.87212,-0.0102897,0.000928669,0.0132824
0.0678344,-0.202358,9.84873,-0.00667453,0.0207269,0.0124992
-0.126785,0.314933,9.89591,0.0149249,0.0140173,-0.000701791
0.131018,0.164496,9.99121,0.0266788,0.0172,-0.0315058
0.0231976,0.345594,9.68791,-0.0190809,0.00728522,0.0446377
-0.31451,0.131201,9.51198,-0.017124,0.0163179,0.00974357
0.00650923,-0.304565,9.55702,-0.0122459,-0.00621019,-0.00589202
0.0279153,0.114169,9.65582,-0.0438934,-0.0119767,0.00495258
0.223891,-0.0941261,9.93018,0.00468703,0.0276699,0.045382
0.291934,0.055035,9.73048,0.0184471,-0.0223129,0.0608613
0.0328778,0.312819,9.93857,-0.000360202,0.022179,0.00303543
0.133578,0.207917,9.95997,0.0382691,-0.0283815,-0.0226205
0.150355,-0.20573,9.83648,0.0178907,0.00453945,0.00443883
0.0646307,-0.384984,9.74866,0.0361527,0.0503105,0.0208602
0.353189,0.0275588,9.77482,0.0261784,-8.60896e-05,0.0342749
0.132354,-0.189094,9.85649,0.0518238,0.0320183,-0.00459187
0.0801439,-0.113454,9.53804,0.0207981,0.0208858,0.00285152
0.109,0.144311,9.70334,0.0374485,0.0398874,0.0282575
0.212807,0.156226,9.97816,0.0406861,-0.00243776,0.024581
0.373673,0.0963219,9.99643,0.00265289,0.0114685,0.00748333
0.193563,-0.0335992,9.91857,0.0419894,-5.58402e-05,0.0411711
0.0843116,0.0349974,10.1743,0.0159134,0.037561,0.0317873
-0.0670377,0.177205,9.94369,0.00967808,0.0122451,0.0120586
0.000752054,-0.186774,9.80458,0.0605238,0.0034314,0.0159076
0.209372,0.519312,9.52553,0.0531234,-0.00177336,0.0103993
-0.411769,-0.170251,9.28124,0.0227052,0.04896,-0.0034616
0.11582,0.0236715,9.44676,0.00251519,0.0314705,0.0269283
-0.183319,-0.173864,9.56902,-0.01482,0.0374645,0.0218955
0.22154,0.305614,9.76501,0.0286721,0.0337938,0.00416011
0.159818,-0.200895,10.0889,0.00851664,0.0234873,0.0527489
0.344953,0.200885,9.86887,0.0223976,0.0397317,0.0164864
0.112053,-0.0118093,9.61703,0.00377127,0.0464626,0.0399272
0.120848,0.266558,9.6617,0.019836,0.050976,0.00969031
-0.00734311,-0.311363,10.0259,0.00368098,0.00993893,0.0557014
0.535107,0.0729972,10.1622,0.0347636,0.039495,0.0308539
