x,y,z,vx,vy,vz,phi,theta,psi
6.1118e-09,6.1118e-09,6.1118e-09,-0.000221703,0.00134032,0.000972982,0.0115653,-0.00394985,-0.00879315
-1.03402e-06,6.70738e-06,4.90295e-06,-0.00178175,0.000308158,0.00179464,0.0171488,-0.00223482,-0.0105004
-9.90243e-06,8.16869e-06,1.38697e-05,-0.00252329,0.0024775,0.00193547,0.0126739,-0.00611245,-0.00226624
-2.24505e-05,2.05509e-05,2.33976e-05,-0.00309186,0.00224756,0.000923468,0.0131518,-0.00117435,0.00177181
-3.78015e-05,3.19851e-05,2.79091e-05,-0.00386539,0.000981821,-0.000534287,0.0100067,-0.00153411,-0.00559009
-5.72113e-05,3.68391e-05,2.5097e-05,-0.0028111,0.000788717,-0.00110409,0.00590066,-0.00269358,-0.0105077
-7.13653e-05,4.09406e-05,1.96093e-05,-0.00342536,0.00108046,-0.003561,0.0033179,-0.00859826,-0.0156046
-8.85063e-05,4.64225e-05,1.80044e-06,-0.00536019,0.0019544,-0.0059596,0.00453882,-0.013466,-0.0150355
-0.000115345,5.63038e-05,-2.78788e-05,-0.00480981,0.00315497,-0.00724638,0.00494682,-0.0175792,-0.0242921
-0.000139416,7.22278e-05,-6.41896e-05,-0.00485166,0.00107036,-0.00746482,0.00503147,-0.0155029,-0.0341591
-0.000163576,7.76762e-05,-0.00010169,-0.0045618,0.00121775,-0.00704775,0.0167587,-0.0210471,-0.0352995
-0.000186259,8.3823e-05,-0.000136874,-0.00468396,0.00125538,-0.0077071,0.0111063,-0.0214602,-0.030138
0.622217,-0.235681,-1.13984,0.0203665,-0.00696975,-0.044722,-0.0104563,0.606009,0.871335
0.622319,-0.235716,-1.14006,0.0211616,-0.00519848,-0.0445055,-0.0214446,0.615252,0.877807
0.622425,-0.235742,-1.14029,0.0226506,-0.00533338,-0.0454058,-0.0237424,0.613637,0.885821
0.622538,-0.235768,-1.14051,0.0229957,-0.00527185,-0.0456295,-0.0180341,0.618143,0.881697
0.622653,-0.235795,-1.14074,0.0232731,-0.00405623,-0.0460767,-0.0126619,0.617307,0.882425
0.622769,-0.235815,-1.14097,0.0251363,-0.00303023,-0.0479816,-0.0161097,0.610956,0.874065
0.622895,-0.23583,-1.14121,0.0265593,-0.0015386,-0.0500611,-0.0142592,0.608503,0.877598
0.623028,-0.235838,-1.14146,0.0253952,0.000307194,-0.0507723,-0.0108565,0.610091,0.877066
0.623155,-0.235837,-1.14172,0.0266582,0.000978361,-0.0511379,-0.0142247,0.611893,0.882159
0.623288,-0.235832,-1.14197,0.0263751,0.00186509,-0.0513281,-0.0184056,0.616898,0.886157
0.62342,-0.235822,-1.14223,0.0276388,0.00303439,-0.0527558,-0.0180056,0.618065,0.889924
0.623558,-0.235807,-1.14249,0.0284556,0.00429039,-0.0522049,-0.0102804,0.623191,0.883596
0.235345,-0.100801,-1.42161,-0.012296,-0.00109313,-0.0765023,2.39813,-0.440395,-1.67933
0.235284,-0.100806,-1.42199,-0.0127823,-0.00297305,-0.0762955,2.39554,-0.436949,-1.67326
0.23522,-0.100821,-1.42238,-0.0120941,-0.00514481,-0.0768003,2.40212,-0.43148,-1.66945
0.235159,-0.100847,-1.42276,-0.0106383,-0.00606111,-0.0773999,2.40566,-0.418579,-1.66437
0.235106,-0.100878,-1.42315,-0.0105899,-0.00709694,-0.0792843,2.40535,-0.426278,-1.64985
0.235053,-0.100913,-1.42354,-0.0113759,-0.00909921,-0.0786077,2.40001,-0.431213,-1.64266
0.234996,-0.100958,-1.42393,-0.0106601,-0.0107497,-0.0799223,2.40209,-0.430294,-1.63638
0.234943,-0.101012,-1.42433,-0.0100225,-0.0144326,-0.078976,2.41128,-0.426468,-1.62455
0.234893,-0.101084,-1.42473,-0.00974423,-0.0162097,-0.0804493,2.41489,-0.428784,-1.6178
0.234844,-0.101166,-1.42513,-0.0103382,-0.0174992,-0.0793267,2.41711,-0.420704,-1.60796
0.234793,-0.101253,-1.42553,-0.00979052,-0.0199763,-0.0795915,2.41382,-0.409982,-1.60631
0.234744,-0.101353,-1.42593,-0.00937635,-0.0247374,-0.0807632,2.42654,-0.397344,-1.60565
-0.154987,-0.352909,-1.66491,-0.0815276,-0.0444539,-0.116054,-0.078875,-2.5721,-1.15047
-0.155394,-0.353132,-1.66549,-0.0846255,-0.0443654,-0.114835,-0.0689418,-2.57106,-1.1286
-0.155817,-0.353353,-1.66606,-0.0856567,-0.0438421,-0.115603,-0.067053,-2.56064,-1.12798
-0.156246,-0.353572,-1.66664,-0.0874469,-0.0431023,-0.117341,-0.0663146,-2.55329,-1.12127
-0.156683,-0.353788,-1.66723,-0.0870406,-0.0430177,-0.119258,-0.0649065,-2.54175,-1.11049
-0.157118,-0.354003,-1.66782,-0.0879972,-0.0412361,-0.119561,-0.0601057,-2.53172,-1.10627
-0.157558,-0.354209,-1.66842,-0.0899447,-0.0404248,-0.120299,-0.0556513,-2.52345,-1.10421
-0.158008,-0.354411,-1.66902,-0.0929498,-0.0395936,-0.118769,-0.0475534,-2.51866,-1.09631
-0.158473,-0.354609,-1.66962,-0.0933488,-0.0375775,-0.118831,-0.0435836,-2.50556,-1.07946
-0.15894,-0.354797,-1.67021,-0.0941895,-0.035857,-0.118542,-0.0321195,-2.50366,-1.07101
-0.159411,-0.354977,-1.6708,-0.0974637,-0.0363769,-0.117162,-0.0287493,-2.49826,-1.05827
-0.159898,-0.355159,-1.67139,-0.0980546,-0.0357586,-0.119211,-0.0222168,-2.49266,-1.04527
-0.599382,-0.873695,-1.98411,-0.179254,-0.138283,-0.186628,-0.825269,-0.97776,1.24522
-0.600278,-0.874387,-1.98504,-0.1783,-0.136118,-0.187316,-0.819772,-0.972248,1.25724
-0.60117,-0.875068,-1.98598,-0.179327,-0.13404,-0.189581,-0.814051,-0.963772,1.26483
-0.602066,-0.875738,-1.98693,-0.17947,-0.133989,-0.190925,-0.799172,-0.958965,1.27886
-0.602964,-0.876408,-1.98788,-0.180055,-0.133708,-0.191743,-0.789208,-0.942832,1.29511
-0.603864,-0.877077,-1.98884,-0.179804,-0.133785,-0.192104,-0.785298,-0.935788,1.29936
-0.604763,-0.877746,-1.9898,-0.179057,-0.133208,-0.191813,-0.767505,-0.923373,1.30525
-0.605658,-0.878411,-1.99076,-0.178453,-0.130193,-0.191119,-0.756339,-0.911875,1.30945
-0.606551,-0.879062,-1.99172,-0.178165,-0.129652,-0.1922,-0.747785,-0.90277,1.30801
